"","t","doEcdf","rfeVars","resample","model","vars","acc","kappa","numChains","nrowData","truth","pred"
"1",1,TRUE,TRUE,1,"A1",11,0.22,-0.0785398230088496,11,186,"a,c,p,p,c,p,p,p,p,p,p,a,a,a,p,p,p,p,p,p,c,c,p,c,c,p,a,p,p,c,a,a,p,a,c,p,p,c,c,a,p,a,c,c,p,p,c,p,p,c","p,a,p,a,a,a,a,a,a,p,a,p,a,a,p,a,a,a,a,a,p,a,a,a,p,a,a,p,a,a,a,a,a,p,a,a,a,p,a,a,a,p,a,a,a,p,a,a,a,a"
"2",1,FALSE,TRUE,1,"A1",11,0.22,0.00102459016393442,11,186,"a,c,p,p,c,p,p,p,p,p,p,a,a,a,p,p,p,p,p,p,c,c,p,c,c,p,a,p,p,c,a,a,p,a,c,p,p,c,c,a,p,a,c,c,p,p,c,p,p,c","a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a"
"3",1,TRUE,FALSE,1,"A1",49,0.2,-0.116071428571429,11,186,"a,c,p,p,c,p,p,p,p,p,p,a,a,a,p,p,p,p,p,p,c,c,p,c,c,p,a,p,p,c,a,a,p,a,c,p,p,c,c,a,p,a,c,c,p,p,c,p,p,c","p,a,p,a,a,a,a,a,a,p,a,p,a,a,p,a,a,a,a,a,p,a,a,a,p,a,a,p,a,a,a,p,a,p,a,a,a,p,a,a,a,p,a,a,a,p,a,a,a,a"
"4",1,FALSE,FALSE,1,"A1",49,0.14,-0.126834381551363,11,186,"a,c,p,p,c,p,p,p,p,p,p,a,a,a,p,p,p,p,p,p,c,c,p,c,c,p,a,p,p,c,a,a,p,a,c,p,p,c,c,a,p,a,c,c,p,p,c,p,p,c","c,a,c,a,a,a,a,a,a,p,a,c,c,c,c,a,c,a,a,a,c,a,a,a,c,a,c,p,a,a,c,c,a,a,a,a,a,c,a,a,a,c,a,a,a,c,a,a,a,a"
"5",1,TRUE,TRUE,2,"A1",11,0.24,-0.0857142857142858,8,186,"a,c,c,p,c,p,p,c,p,p,p,a,c,p,p,c,p,c,p,p,c,a,a,a,a,p,p,p,a,p,a,c,p,p,p,p,a,a,a,c,p,p,p,p,p,p,a,c,p,p","p,a,a,a,p,a,p,a,a,a,a,p,a,a,a,a,p,a,a,a,p,a,p,p,a,p,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a"
"6",1,FALSE,TRUE,2,"A1",11,0.24,-0.0326086956521739,8,186,"a,c,c,p,c,p,p,c,p,p,p,a,c,p,p,c,p,c,p,p,c,a,a,a,a,p,p,p,a,p,a,c,p,p,p,p,a,a,a,c,p,p,p,p,p,p,a,c,p,p","a,a,a,a,p,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,p,a,p,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a"
"7",1,TRUE,FALSE,2,"A1",49,0.24,-0.0857142857142858,8,186,"a,c,c,p,c,p,p,c,p,p,p,a,c,p,p,c,p,c,p,p,c,a,a,a,a,p,p,p,a,p,a,c,p,p,p,p,a,a,a,c,p,p,p,p,p,p,a,c,p,p","p,a,a,a,p,a,p,a,a,a,a,p,a,a,a,a,p,a,a,a,p,a,p,p,a,p,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a"
"8",1,FALSE,FALSE,2,"A1",49,0.16,-0.136978884677856,8,186,"a,c,c,p,c,p,p,c,p,p,p,a,c,p,p,c,p,c,p,p,c,a,a,a,a,p,p,p,a,p,a,c,p,p,p,p,a,a,a,c,p,p,p,p,p,p,a,c,p,p","c,a,a,a,p,a,c,a,a,a,a,p,a,a,a,a,p,a,a,a,p,c,c,c,a,c,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,c,a,a,a,a,a,a"
"9",1,TRUE,TRUE,3,"A1",11,0.208333333333333,-0.144291091593476,11,188,"c,a,c,p,p,p,p,a,p,p,c,p,p,p,p,a,c,p,p,p,a,a,p,p,c,p,a,p,p,p,c,a,a,a,a,a,p,c,c,p,c,c,c,c,p,p,p,p","p,a,a,a,p,a,a,a,p,a,a,a,a,a,a,p,a,a,a,a,p,a,a,a,p,a,a,p,a,a,p,a,p,p,a,p,a,a,a,a,p,a,a,a,p,a,a,a"
"10",1,FALSE,TRUE,3,"A1",11,0.1875,-0.106382978723404,11,188,"c,a,c,p,p,p,p,a,p,p,c,p,p,p,p,a,c,p,p,p,a,a,p,p,c,p,a,p,p,p,c,a,a,a,a,a,p,c,c,p,c,c,c,c,p,p,p,p","a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a,a,a,a,p,a,p,a,a,p,a,a,a,a,p,a,a,a,p,a,a,a"
"11",1,TRUE,FALSE,3,"A1",49,0.229166666666667,-0.124050632911392,11,188,"c,a,c,p,p,p,p,a,p,p,c,p,p,p,p,a,c,p,p,p,a,a,p,p,c,p,a,p,p,p,c,a,a,a,a,a,p,c,c,p,c,c,c,c,p,p,p,p","p,a,a,a,p,a,a,a,p,a,a,a,a,a,a,p,a,a,a,a,p,a,a,a,p,a,a,p,a,p,p,a,p,p,a,p,a,a,a,a,p,a,a,a,p,a,a,a"
